N,m
7.239797037227078818e+02,9.563996790420010718e-01
7.164863402152792560e+02,9.794117162261035681e-01
7.211716560289678455e+02,9.790423925529972982e-01
7.255020112832738732e+02,9.680879892759730598e-01
7.275276102615102900e+02,9.656633057832433309e-01
7.310129882646018586e+02,9.828098102935535207e-01
7.307583962785868152e+02,9.697453889283184081e-01
7.257769297983800243e+02,9.943597894329915254e-01
7.256955386852698666e+02,9.808499131171001251e-01
7.194687257590640002e+02,9.327946928489143641e-01
7.101511983651975015e+02,9.524926819063053163e-01
7.139316509726245386e+02,9.497181470538055281e-01
7.050299346613165881e+02,9.605538928571013546e-01
7.043249848773856456e+02,9.373346086452086778e-01
7.068309213311365511e+02,9.485834834758855028e-01
7.086300922914814464e+02,9.364130058481323626e-01
7.077607986284950812e+02,9.792104347170508261e-01
7.038925815919268416e+02,9.316165865186710748e-01
6.987843777624057111e+02,9.467580560769195408e-01
7.027858753140355930e+02,9.482779835208073882e-01
7.049129950333236820e+02,9.413601133658150433e-01
7.060975890561826418e+02,9.288581318510354956e-01
7.076267481302743363e+02,9.412322362772077566e-01
7.062737419260743081e+02,9.415849996901914931e-01
6.991736189545189291e+02,9.333366936290222737e-01
6.991736189545189291e+02,9.333366936290222737e-01
6.958593125944946678e+02,9.120343744350536408e-01
6.975184531305528708e+02,9.167271373822708513e-01
7.017218375703798756e+02,9.243234116426589653e-01
6.986580040295942808e+02,9.242713933743570420e-01
7.009728897790334941e+02,9.561549504463707772e-01
6.916602436030319723e+02,9.171584253697477873e-01
7.053040181213752930e+02,9.335451049305030224e-01
7.116357539888667816e+02,9.672667129731907787e-01
7.132041213972398737e+02,9.630123320324619485e-01
7.157640590290343425e+02,9.442697168553765286e-01
7.197514609873842346e+02,9.659129220306635899e-01
7.232675044550449002e+02,9.741376688071128331e-01
7.201298240394093000e+02,9.597179421407576738e-01
7.122363769268476972e+02,9.682896197345809419e-01
7.105264487172812551e+02,9.766414708788113686e-01
7.080237899235211216e+02,9.317053402539522411e-01
7.104021281599210624e+02,9.526012712362447177e-01
7.064150600885345739e+02,9.548464444488901082e-01
7.064150600885345739e+02,9.548464444488901082e-01
7.046419506237211863e+02,9.525514699727348766e-01
7.046419506237211863e+02,9.525514699727348766e-01
7.045008691976232740e+02,9.553343577848614210e-01
7.087036202311406896e+02,9.329594209024987261e-01
7.107130331424232281e+02,9.532037454870242454e-01
7.128443778749942794e+02,9.492745279491555666e-01
